id;rest_id;name;adress;theme;review
1;19018;Avon;infrastructures primary Account;cross-platform Buckinghamshire Metal;2
2;45080;payment Dynamic XML;revolutionize Orchestrator Marketing;Web;5
3;85489;Account Avon;Personal Republic;Vision-oriented productize;1
4;95551;directional Delaware;copying See Dynamic;deliver;1
5;9006;Shoes synthesizing;Ameliorated;Pennsylvania Awesome South;4
6;48960;navigating;compress;Cedi leverage Plastic;1
7;60225;Books Borders;quantifying Denmark maroon;Business-focused Human RAM;2
8;17730;orchid bypass;bottom-line Spurs;Tuna white;1
9;32747;Lebanon Buckinghamshire;silver;haptic;4
10;41520;Baby;open-source Designer connect;recontextualize interactive;2
